Timestamp,LUX,LDR,Vo,Vi,LED
1001064,0.0,10,0.0,0.0,0
1003092,0.0,10,0.0,0.0,0
1005156,0.0,10,0.0,0.0,0
1007220,0.0,10,0.0,0.0,0
1009284,0.0,10,0.0,0.0,0
1011348,0.0,10,0.0,0.0,0
1013404,0.0,10,0.0,0.0,0
1015464,0.0,10,0.0,0.0,0
1017520,0.0,10,0.0,0.0,0
1019576,0.0,10,0.0,0.0,0
1021640,0.0,10,0.0,1.0,50
1023764,0.1,30,0.1,1.0,50
1025896,0.3,77,0.4,1.0,50
1028020,0.8,137,0.7,1.0,50
1030216,1.6,199,1.0,1.0,50
1032448,2.7,258,1.3,1.0,50
1034672,4.0,310,1.5,1.0,50
1036900,5.4,353,1.7,1.0,50
1039136,6.9,391,1.9,1.0,50
1041364,8.6,424,2.1,1.0,50
1043600,10.0,448,2.2,1.0,50
1045872,11.4,469,2.3,1.0,50
1048148,12.6,485,2.4,1.0,50
1050432,13.6,497,2.4,1.0,50
1052704,14.3,506,2.5,1.0,50
1054988,15.0,513,2.5,1.0,50
1057252,15.6,519,2.5,1.0,50
1059540,16.2,526,2.6,1.0,50
1062016,16.9,532,2.6,1.0,50
1064480,17.5,538,2.6,1.0,50
1066936,17.8,541,2.6,1.0,50
1069404,17.8,541,2.6,1.0,50
1071864,18.4,546,2.7,1.0,50
1074328,18.7,549,2.7,1.0,50
1076800,19.1,552,2.7,1.0,50
1079256,19.2,553,2.7,1.0,50
1081732,19.0,551,2.7,1.0,50
1084192,19.4,555,2.7,1.0,50
1086664,19.8,558,2.7,1.0,50
1089128,19.9,559,2.7,1.0,50
1091592,19.9,559,2.7,1.0,50
1094056,19.9,559,2.7,1.0,50
1096500,20.2,561,2.7,1.0,50
1098976,20.4,563,2.8,1.0,50
1101448,20.4,563,2.8,1.0,50
1103912,20.4,563,2.8,1.0,50
1106376,20.4,563,2.8,1.0,50
1108840,20.7,565,2.8,1.0,50
1111312,21.0,567,2.8,1.0,50
1113776,21.0,567,2.8,1.0,50
1116240,20.7,565,2.8,1.0,50
1118704,20.7,565,2.8,1.0,50
1121172,21.1,568,2.8,1.0,50
1123640,21.2,569,2.8,1.0,50
1126096,21.2,569,2.8,1.0,50
1128568,21.0,567,2.8,1.0,50
1131032,21.1,568,2.8,1.0,50
1133488,21.4,570,2.8,1.0,50
1135956,21.5,571,2.8,1.0,50
1138412,21.5,571,2.8,1.0,50
1140896,21.1,568,2.8,1.0,50
1143356,21.4,570,2.8,1.0,50
1145812,21.6,572,2.8,1.0,50
1148280,21.8,573,2.8,1.0,50
1150740,21.5,571,2.8,1.0,50
1153212,21.4,570,2.8,1.0,50
1155676,21.5,571,2.8,1.0,50
1158128,21.8,573,2.8,1.0,50
1160608,21.8,573,2.8,1.0,50
1163068,21.6,572,2.8,1.0,50
1165540,21.5,571,2.8,1.0,50
1168000,21.8,573,2.8,1.0,50
1170464,22.0,575,2.8,1.0,50
1172928,21.9,574,2.8,1.0,50
1175388,21.6,572,2.8,1.0,50
1177856,21.6,572,2.8,1.0,50
1180328,21.9,574,2.8,1.0,50
1182788,22.2,576,2.8,1.0,50
1185256,22.0,575,2.8,1.0,50
1187716,21.6,572,2.8,1.0,50
1190184,21.8,573,2.8,1.0,50
1192640,22.0,575,2.8,1.0,50
1195108,22.2,576,2.8,1.0,50
1197576,22.0,575,2.8,1.0,50
1200044,21.6,572,2.8,1.0,50
1202512,22.0,575,2.8,1.0,50
1204968,22.2,576,2.8,1.0,50
1207436,22.2,576,2.8,1.0,50
1209904,22.0,575,2.8,1.0,50
1212360,21.9,574,2.8,1.0,50
1214832,22.0,575,2.8,1.0,50
1217284,22.3,577,2.8,1.0,50
