Timestamp,LUX,LDR,Vo,Vi,LED
1001064,0.0,10,0.0,0.0,0
1003092,0.0,10,0.0,0.0,0
1005156,0.0,10,0.0,0.0,0
1007220,0.0,10,0.0,0.0,0
1009280,0.0,9,0.0,0.0,0
1011272,0.0,9,0.0,0.0,0
1013292,0.0,10,0.0,0.0,0
1015356,0.0,10,0.0,0.0,0
1017420,0.0,10,0.0,0.0,0
1019484,0.0,10,0.0,0.0,0
1021556,0.0,10,0.0,2.5,128
1023724,0.2,61,0.3,2.5,128
1025920,1.3,179,0.9,2.5,128
1028188,3.9,309,1.5,2.5,128
1030484,8.4,421,2.1,2.5,128
1032764,14.4,507,2.5,2.5,128
1035112,21.4,570,2.8,2.5,128
1037440,28.6,616,3.0,2.5,128
1039776,34.6,645,3.2,2.5,128
1042104,39.6,665,3.3,2.5,128
1044436,43.0,677,3.3,2.5,128
1046772,45.1,684,3.3,2.5,128
1049108,47.4,691,3.4,2.5,128
1051456,49.8,698,3.4,2.5,128
1053804,52.0,704,3.4,2.5,128
1056220,53.1,707,3.5,2.5,128
1058768,53.9,709,3.5,2.5,128
1061324,54.3,710,3.5,2.5,128
1063864,55.9,714,3.5,2.5,128
1066424,56.7,716,3.5,2.5,128
1068968,56.7,716,3.5,2.5,128
1071524,57.2,717,3.5,2.5,128
1074064,58.4,720,3.5,2.5,128
1076628,59.3,722,3.5,2.5,128
1079172,58.9,721,3.5,2.5,128
1081728,58.4,720,3.5,2.5,128
1084264,59.8,723,3.5,2.5,128
1086820,60.2,724,3.5,2.5,128
1089368,59.8,723,3.5,2.5,128
1091924,59.8,723,3.5,2.5,128
1094452,60.7,725,3.5,2.5,128
1097020,61.1,726,3.5,2.5,128
1099556,60.7,725,3.5,2.5,128
1102124,60.2,724,3.5,2.5,128
1104656,61.6,727,3.6,2.5,128
1107224,62.1,728,3.6,2.5,128
1109768,61.1,726,3.5,2.5,128
1112324,61.1,726,3.5,2.5,128
1114868,62.1,728,3.6,2.5,128
1117424,62.5,729,3.6,2.5,128
1119960,61.6,727,3.6,2.5,128
1122516,61.6,727,3.6,2.5,128
1125064,62.5,729,3.6,2.5,128
1127624,62.5,729,3.6,2.5,128
1130168,62.5,729,3.6,2.5,128
1132728,62.1,728,3.6,2.5,128
1135268,62.5,729,3.6,2.5,128
1137824,63.0,730,3.6,2.5,128
1140376,62.5,729,3.6,2.5,128
1142928,62.1,728,3.6,2.5,128
1145472,63.0,730,3.6,2.5,128
1148024,63.5,731,3.6,2.5,128
1150576,62.5,729,3.6,2.5,128
1153124,62.5,729,3.6,2.5,128
1155672,63.5,731,3.6,2.5,128
1158224,64.0,732,3.6,2.5,128
1160776,63.0,730,3.6,2.5,128
1163328,62.5,729,3.6,2.5,128
1165872,63.5,731,3.6,2.5,128
1168424,64.0,732,3.6,2.5,128
1170976,63.0,730,3.6,2.5,128
1173528,63.0,730,3.6,2.5,128
1176072,63.5,731,3.6,2.5,128
1178616,64.0,732,3.6,2.5,128
1181176,63.0,730,3.6,2.5,128
1183724,63.0,730,3.6,2.5,128
1186272,63.5,731,3.6,2.5,128
1188824,64.5,733,3.6,2.5,128
1191376,63.5,731,3.6,2.5,128
1193924,63.0,730,3.6,2.5,128
1196472,64.0,732,3.6,2.5,128
1199016,64.0,732,3.6,2.5,128
1201576,63.5,731,3.6,2.5,128
1204124,63.0,730,3.6,2.5,128
1206672,64.0,732,3.6,2.5,128
1209224,64.5,733,3.6,2.5,128
1211776,63.5,731,3.6,2.5,128
1214320,63.5,731,3.6,2.5,128
1216876,64.5,733,3.6,2.5,128
1219424,64.5,733,3.6,2.5,128
1221976,64.0,732,3.6,2.5,128
1224520,63.5,731,3.6,2.5,128
