Timestamp,LUX,LDR,Vo,Vi,LED
1001064,0.0,10,0.0,0.0,0
1003088,0.0,9,0.0,0.0,0
1005096,0.0,9,0.0,0.0,0
1007100,0.0,10,0.0,0.0,0
1009152,0.0,9,0.0,0.0,0
1011160,0.0,9,0.0,0.0,0
1013168,0.0,9,0.0,0.0,0
1015172,0.0,10,0.0,0.0,0
1017228,0.0,10,0.0,0.0,0
1019292,0.0,10,0.0,0.0,0
1021364,0.0,10,0.0,1.5,75
1023488,0.1,33,0.2,1.5,75
1025628,0.4,100,0.5,1.5,75
1027812,1.4,187,0.9,1.5,75
1030036,3.0,272,1.3,1.5,75
1032284,5.2,347,1.7,1.5,75
1034524,7.8,409,2.0,1.5,75
1036760,10.5,456,2.2,1.5,75
1039044,13.5,496,2.4,1.5,75
1041336,16.3,527,2.6,1.5,75
1043640,18.9,550,2.7,1.5,75
1045944,21.2,569,2.8,1.5,75
1048244,22.9,581,2.8,1.5,75
1050536,24.2,590,2.9,1.5,75
1052828,25.3,597,2.9,1.5,75
1055108,26.0,601,2.9,1.5,75
1057380,27.0,607,3.0,1.5,75
1059648,27.9,612,3.0,1.5,75
1061928,28.6,616,3.0,1.5,75
1064368,29.6,621,3.0,1.5,75
1066828,29.9,623,3.0,1.5,75
1069296,29.7,622,3.0,1.5,75
1071760,30.3,625,3.1,1.5,75
1074232,30.9,628,3.1,1.5,75
1076696,31.5,631,3.1,1.5,75
1079156,31.5,631,3.1,1.5,75
1081624,31.1,629,3.1,1.5,75
1084084,31.8,632,3.1,1.5,75
1086560,32.4,635,3.1,1.5,75
1089020,32.6,636,3.1,1.5,75
1091480,32.6,636,3.1,1.5,75
1093960,32.4,635,3.1,1.5,75
1096416,32.8,637,3.1,1.5,75
1098888,33.3,639,3.1,1.5,75
1101356,33.5,640,3.1,1.5,75
1103808,33.0,638,3.1,1.5,75
1106280,33.0,638,3.1,1.5,75
1108744,33.5,640,3.1,1.5,75
1111212,33.9,642,3.1,1.5,75
1113688,33.9,642,3.1,1.5,75
1116144,33.5,640,3.1,1.5,75
1118612,33.5,640,3.1,1.5,75
1121072,33.9,642,3.1,1.5,75
1123536,34.1,643,3.1,1.5,75
1126000,34.1,643,3.1,1.5,75
1128468,33.7,641,3.1,1.5,75
1130932,33.9,642,3.1,1.5,75
1133396,34.4,644,3.1,1.5,75
1135864,34.6,645,3.2,1.5,75
1138328,34.4,644,3.1,1.5,75
1140796,33.9,642,3.1,1.5,75
1143256,34.4,644,3.1,1.5,75
1145716,34.8,646,3.2,1.5,75
1148184,34.8,646,3.2,1.5,75
1150644,34.6,645,3.2,1.5,75
1153120,34.4,644,3.1,1.5,75
1155584,34.6,645,3.2,1.5,75
1158048,35.1,647,3.2,1.5,75
1160520,35.1,647,3.2,1.5,75
1162972,34.6,645,3.2,1.5,75
1165440,34.4,644,3.1,1.5,75
1167912,35.1,647,3.2,1.5,75
1170368,35.3,648,3.2,1.5,75
1172848,35.3,648,3.2,1.5,75
1175300,34.8,646,3.2,1.5,75
1177768,34.6,645,3.2,1.5,75
1180240,35.1,647,3.2,1.5,75
1182696,35.3,648,3.2,1.5,75
1185168,35.1,647,3.2,1.5,75
1187628,34.6,645,3.2,1.5,75
1190088,34.8,646,3.2,1.5,75
1192568,35.3,648,3.2,1.5,75
1195028,35.5,649,3.2,1.5,75
1197496,35.3,648,3.2,1.5,75
1199948,34.6,645,3.2,1.5,75
1202424,35.1,647,3.2,1.5,75
1204884,35.5,649,3.2,1.5,75
1207348,35.5,649,3.2,1.5,75
1209816,35.3,648,3.2,1.5,75
1212280,35.1,647,3.2,1.5,75
1214752,35.3,648,3.2,1.5,75
1217204,35.8,650,3.2,1.5,75
1219676,35.5,649,3.2,1.5,75
1222144,35.3,648,3.2,1.5,75
1224600,35.1,647,3.2,1.5,75
1227068,35.5,649,3.2,1.5,75
1229524,35.8,650,3.2,1.5,75
1232004,35.8,650,3.2,1.5,75
1234472,35.1,647,3.2,1.5,75
1236928,35.1,647,3.2,1.5,75
1239400,35.3,648,3.2,1.5,75
1241852,35.8,650,3.2,1.5,75
1244324,35.8,650,3.2,1.5,75
1246792,35.1,647,3.2,1.5,75
1249248,35.3,648,3.2,1.5,75
1251724,35.5,649,3.2,1.5,75
1254180,36.0,651,3.2,1.5,75
1256652,35.8,650,3.2,1.5,75
1259120,35.1,647,3.2,1.5,75
1261584,35.3,648,3.2,1.5,75
1264044,35.8,650,3.2,1.5,75
1266500,36.0,651,3.2,1.5,75
1268972,35.5,649,3.2,1.5,75
1271448,35.3,648,3.2,1.5,75
1273908,35.5,649,3.2,1.5,75
1276372,36.0,651,3.2,1.5,75
1278828,36.0,651,3.2,1.5,75
1281300,35.5,649,3.2,1.5,75
1283768,35.3,648,3.2,1.5,75
1286228,35.8,650,3.2,1.5,75
1288688,36.0,651,3.2,1.5,75
1291156,36.0,651,3.2,1.5,75
1293628,35.5,649,3.2,1.5,75
1296084,35.5,649,3.2,1.5,75
1298556,35.8,650,3.2,1.5,75
1301016,36.3,652,3.2,1.5,75
1303476,36.0,651,3.2,1.5,75
1305952,35.3,648,3.2,1.5,75
1308404,35.5,649,3.2,1.5,75
1310884,36.0,651,3.2,1.5,75
1313344,36.3,652,3.2,1.5,75
1315804,35.8,650,3.2,1.5,75
1318280,35.1,647,3.2,1.5,75
1320740,35.8,650,3.2,1.5,75
1323204,36.0,651,3.2,1.5,75
1325664,36.3,652,3.2,1.5,75
1328124,35.8,650,3.2,1.5,75
1330604,35.5,649,3.2,1.5,75
1333060,35.8,650,3.2,1.5,75
1335528,36.3,652,3.2,1.5,75
1337992,36.3,652,3.2,1.5,75
1340460,35.8,650,3.2,1.5,75
1342924,35.5,649,3.2,1.5,75
1345380,36.0,651,3.2,1.5,75
1347848,36.3,652,3.2,1.5,75
1350320,36.3,652,3.2,1.5,75
1352788,35.5,649,3.2,1.5,75
1355252,35.5,649,3.2,1.5,75
1357708,35.8,650,3.2,1.5,75
1360176,36.3,652,3.2,1.5,75
1362636,36.0,651,3.2,1.5,75
1365108,35.5,649,3.2,1.5,75
1367572,35.8,650,3.2,1.5,75
1370036,36.0,651,3.2,1.5,75
1372504,36.3,652,3.2,1.5,75
1374964,36.0,651,3.2,1.5,75
1377440,35.3,648,3.2,1.5,75
1379900,35.8,650,3.2,1.5,75
1382356,36.3,652,3.2,1.5,75
1384824,36.3,652,3.2,1.5,75
1387284,36.0,651,3.2,1.5,75
1389764,35.5,649,3.2,1.5,75
1392228,36.0,651,3.2,1.5,75
1394684,36.3,652,3.2,1.5,75
1397152,36.3,652,3.2,1.5,75
1399612,35.8,650,3.2,1.5,75
1402084,35.5,649,3.2,1.5,75
1404544,36.0,651,3.2,1.5,75
1407012,36.5,653,3.2,1.5,75
